iter	Passed	Remaining
0	144	144431
1	147	73628
2	150	49916
3	155	38666
4	158	31469
5	158	26318
6	160	22718
7	160	19927
8	162	17878
9	164	16286
10	165	14845
11	166	13740
12	167	12724
13	168	11852
14	169	11107
15	169	10448
16	170	9857
17	171	9337
18	172	8893
19	172	8470
20	173	8090
21	174	7747
22	174	7429
23	175	7137
24	176	6889
25	177	6641
26	178	6415
27	178	6204
28	179	6008
29	180	5822
30	180	5648
31	181	5492
32	182	5347
33	183	5202
34	183	5066
35	184	4940
36	185	4819
37	185	4703
38	186	4593
39	187	4491
40	188	4398
41	188	4301
42	189	4207
43	189	4123
44	190	4040
45	190	3959
46	191	3881
47	191	3807
48	192	3738
49	193	3672
50	193	3607
51	194	3544
52	194	3482
53	195	3424
54	195	3367
55	196	3312
56	196	3257
57	197	3205
58	197	3154
59	198	3108
60	199	3063
61	199	3020
62	200	2976
63	200	2934
64	201	2893
65	201	2853
66	202	2814
67	202	2775
68	202	2738
69	203	2702
70	203	2668
71	204	2635
72	205	2605
73	205	2574
74	206	2544
75	206	2514
76	207	2484
77	207	2455
78	208	2426
79	208	2400
80	209	2374
81	209	2350
82	210	2324
83	211	2301
84	211	2280
85	212	2257
86	212	2235
87	213	2213
88	214	2193
89	214	2172
90	215	2151
91	216	2131
92	216	2113
93	217	2094
94	217	2075
95	218	2056
96	218	2038
97	219	2020
98	219	2002
99	220	1984
100	221	1967
101	221	1951
102	222	1936
103	222	1920
104	223	1905
105	224	1889
106	224	1874
107	225	1859
108	225	1844
109	226	1829
110	226	1815
111	227	1801
112	227	1787
113	228	1774
114	228	1761
115	229	1749
116	230	1735
117	230	1723
118	231	1710
119	231	1698
120	232	1686
121	232	1673
122	233	1662
123	233	1650
124	234	1639
125	234	1629
126	235	1618
127	236	1608
128	236	1597
129	237	1587
130	237	1576
131	238	1566
132	238	1556
133	239	1545
134	239	1535
135	240	1526
136	240	1517
137	241	1508
138	242	1499
139	242	1490
140	243	1481
141	243	1471
142	243	1462
143	244	1453
144	245	1445
145	245	1436
146	246	1428
147	246	1420
148	247	1412
149	247	1404
150	248	1397
151	249	1389
152	249	1381
153	250	1373
154	250	1366
155	251	1359
156	251	1351
157	252	1344
158	252	1337
159	253	1331
160	254	1324
161	254	1317
162	255	1310
163	255	1304
164	256	1297
165	256	1290
166	257	1283
167	257	1277
168	258	1270
169	258	1264
170	259	1258
171	260	1252
172	260	1246
173	261	1240
174	261	1234
175	262	1228
176	262	1222
177	263	1216
178	264	1210
179	264	1205
180	265	1201
181	266	1196
182	266	1191
183	267	1185
184	268	1180
185	268	1175
186	269	1170
187	269	1165
188	270	1160
189	271	1155
190	271	1150
191	272	1146
192	273	1141
193	273	1136
194	274	1131
195	274	1126
196	275	1121
197	275	1117
198	276	1112
199	276	1107
200	277	1104
201	278	1100
202	279	1095
203	279	1091
204	280	1086
205	280	1082
206	281	1078
207	281	1073
208	282	1069
209	283	1065
210	283	1061
211	284	1057
212	285	1053
213	285	1049
214	286	1045
215	286	1041
216	287	1036
217	287	1032
218	288	1028
219	289	1024
220	289	1021
221	290	1018
222	291	1014
223	291	1011
224	292	1007
225	293	1003
226	293	999
227	294	996
228	294	992
229	295	988
230	296	985
231	296	982
232	297	979
233	298	975
234	298	971
235	299	968
236	299	964
237	300	961
238	300	958
239	301	955
240	302	951
241	302	948
242	303	945
243	304	942
244	304	939
245	305	936
246	306	933
247	306	930
248	307	927
249	308	924
250	308	921
251	309	919
252	310	915
253	310	912
254	311	909
255	311	906
256	312	903
257	313	900
258	313	898
259	314	895
260	315	892
261	315	889
262	316	886
263	317	884
264	317	880
265	318	877
266	318	875
267	319	871
268	319	869
269	320	866
270	321	863
271	321	861
272	322	858
273	322	855
274	323	852
275	323	849
276	324	846
277	325	844
278	325	841
279	326	839
280	327	837
281	327	834
282	328	831
283	328	829
284	329	826
285	330	824
286	330	821
287	331	819
288	332	817
289	332	814
290	333	812
291	334	810
292	334	808
293	335	805
294	336	803
295	336	800
296	337	798
297	337	796
298	338	794
299	339	792
300	340	789
301	340	787
302	341	784
303	341	782
304	342	780
305	342	777
306	343	775
307	344	773
308	345	771
309	345	769
310	346	767
311	347	765
312	347	763
313	348	761
314	348	758
315	349	756
316	350	754
317	350	752
318	351	750
319	351	747
320	352	745
321	353	743
322	353	741
323	354	739
324	354	736
325	355	734
326	355	732
327	356	730
328	357	728
329	358	727
330	358	725
331	359	723
332	360	721
333	360	719
334	361	717
335	361	714
336	362	712
337	362	710
338	363	709
339	364	706
340	364	704
341	365	702
342	365	700
343	366	698
344	366	695
345	367	693
346	367	691
347	368	689
348	368	687
349	369	685
350	369	683
351	371	683
352	371	681
353	372	679
354	372	677
355	373	675
356	373	673
357	374	671
358	374	669
359	375	667
